type,id,pos_x,pos_y,pos_z,group,rotation,ip_address,dmx_address,universe,kx,ky,kz,pan,stand_type,cam_pan,cam_h,mode,zoom
generic_light,0,5.01772,-1.35,-12.5778,1,0,255.255.255.255,1,1,0.09,0,0.13,75,1,0,0.34,0,0.235
generic_light,1,4.84497,-1.35,-11.8296,1,0,255.255.255.255,22,1,-0.45,0,0.28,355,2,1,0.66,0,0.875
generic_light,2,4.61523,-1.35,-10.7004,1,0,255.255.255.255,43,1,-0.28,0,2.43E-17,15,1,0.98,0.33,0,0.8
generic_light,3,4.36834,-1.35,-9.18435,1,0,255.255.255.255,64,1,-0.16,-0.02,-0.61,0,2,0.98,0.86,0,0.45
generic_light,4,4.21297,-1.35,-8.04286,1,0,255.255.255.255,85,1,0.26,0.02,0.63,0,1,0.02,0.53,0,-0.015
generic_light,5,4.08756,-1.35,-6.89769,1,0,255.255.255.255,106,1,0.13,0,-1.61,0,0,0.89,0.22,0,0.4
generic_light,6,3.99217,-1.35,-5.74963,1,0,255.255.255.255,127,1,0.84,-0.02,3.07,0,0,0.1,0.66,0,0.525
generic_light,7,3.92686,-1.35,-4.59947,1,0,255.255.255.255,148,1,0.16,0,2.73,0,1,0.12,0.5,0,-4.86E-17
generic_light,8,3.89167,-1.35,-3.44798,1,0,255.255.255.255,169,1,0.83,0,1.89,0,0,0,0.94,0,0
generic_light,9,3.88665,-1.35,-2.29598,1,0,255.255.255.255,190,1,0.31,-3.47E-18,1.16,0,1,0.12,0.23,0,0.35
generic_light,10,3.92015,-1.35,-0.760323,1,0,255.255.255.255,211,1,0.66,0,0.81,0,1,0.07,0.35,0,0.3
generic_light,11,3.99051,-1.35,0.389838,1,0,255.255.255.255,232,1,0.07,0,-0.38,0,1,0.76,0.62,0,0.05
generic_light,12,4.05743,-1.35,1.15486,1,0,255.255.255.255,253,1,1.36,0.01,-0.43,0,1,0.11,0.66,0,0.345
generic_light,13,24.572,-1.3,-19.7399,2,0,255.255.255.255,274,2,1.48,-0.02,-2.08,0,0,0.75,0.42,0,0.575
generic_light,14,25.1901,-1.3,-21.642,2,0,255.255.255.255,296,2,0.13,-0.08,-0.4,0,2,0.78,0.11,0,0.55
generic_light,15,23.621,-1.3,-20.0489,2,0,255.255.255.255,317,2,1.19,0,-2.54,0,1,0.55,0.16,0,0.35
generic_light,16,24.239,-1.3,-21.9511,2,0,255.255.255.255,338,2,-0.14,0,-0.85,0,0,0.57,0.43,0,0.35
generic_light,17,22.6699,-1.3,-20.358,2,0,255.255.255.255,359,2,1.47,0,-3,0,2,0.56,0.74,0,-4.86E-17
generic_light,18,23.288,-1.3,-22.2601,2,0,255.255.255.255,380,2,0.08,0.03,-0.81,0,1,0.58,0.38,0,0.5
generic_light,19,20.0117,-1.3,-22.0643,3,0,255.255.255.255,401,2,0.45,0,-2.56,0,0,0.66,0.5,0,0.325
generic_light,20,20.4316,-1.3,-23.8832,3,0,255.255.255.255,422,2,0.5,0,0.01,0,1,0.83,0.44,0,0
generic_light,21,20.8515,-1.3,-25.702,3,0,255.255.255.255,443,2,0.1,0,-0.23,0,1,0.09,0.31,0,1
generic_light,22,21.2714,-1.3,-27.5208,3,0,255.255.255.255,464,2,-0.03,0,-0.57,0,1,0.34,0.25,0,0
generic_light,23,18.5501,-1.3,-22.4018,3,0,255.255.255.255,485,2,0.17,0,-0.42,0,1,0.15,1,0,0
generic_light,24,18.97,-1.3,-24.2206,3,0,255.255.255.255,506,2,0.03,0,-0.14,0,1,0.63,0.09,0,1
generic_light,25,19.39,-1.3,-26.0394,3,0,255.255.255.255,14,2,0,0,0,0,0,0,0,0,0
generic_light,26,19.8099,-1.3,-27.8582,3,0,255.255.255.255,35,2,0,0,0,0,0,0,0,0,0
generic_light,27,17.0886,-1.3,-22.7392,3,0,255.255.255.255,57,2,0,0,0,0,0,0,0,0,0
generic_light,28,17.5085,-1.3,-24.558,3,0,255.255.255.255,78,2,0,0,0,0,0,0,0,0,0
generic_light,29,17.9284,-1.3,-26.3768,3,0,255.255.255.255,99,2,0,0,0,0,0,0,0,0,0
generic_light,30,18.3483,-1.3,-28.1957,3,0,255.255.255.255,120,2,0,0,0,0,0,0,0,0,0
generic_light,31,29.98,-1.48,-3.43,4,0,255.255.255.255,141,3,-0.11,0.07,-0.13,90,0,0.32,0.2,0,1
generic_light,32,30.9824,-1.48,-4.15827,4,0,255.255.255.255,162,3,-0.8,0.04,0.03,155,0,0.43,0.18,0,1
generic_light,33,31.9847,-1.48,-4.88653,4,0,255.255.255.255,183,3,-0.98,0.09,0.75,80,0,0.27,0.13,0,0.95
generic_light,34,32.9871,-1.48,-5.6148,4,0,255.255.255.255,204,3,-0.2,0.12,1.11,0,2,0.52,0.3,0,0.23
generic_light,35,33.9895,-1.48,-6.34306,4,0,255.255.255.255,225,3,-0.57,0.09,0.1,0,0,0.41,0.35,0,0.6
generic_light,36,34.9919,-1.48,-7.07133,4,0,255.255.255.255,246,3,-0.56,0.08,2.03,0,1,0.36,0.61,0,0
generic_light,37,35.9942,-1.48,-7.7996,4,0,255.255.255.255,267,3,-1.45,0.05,0.64,0,0,0.36,0.45,0,0.425
generic_light,38,36.9966,-1.48,-8.52786,4,0,255.255.255.255,288,3,-0.8,0.1,1.16,0,2,0.4,0.54,0,0
generic_light,39,37.999,-1.48,-9.25613,4,0,255.255.255.255,309,3,-1.97,0.05,1.03,0,0,0.4,0.52,0,0
generic_light,40,39.0014,-1.48,-9.98439,4,0,255.255.255.255,331,3,-1.31,0.08,1.53,0,1,0.39,0.51,0,0
generic_light,41,40.0037,-1.48,-10.7127,4,0,255.255.255.255,352,3,-2.24,0.07,1.49,0,0,0.39,0.57,0,0
generic_light,42,20.98,-1.35,5.07,5,0,255.255.255.255,373,3,-0.4,0.05,-0.33,0,0,0.52,0.31,0,0
generic_light,43,20.98,-1.35,5.84,5,0,255.255.255.255,394,3,0.09,0.05,-0.17,0,1,0.49,0.35,0,0
generic_light,44,20.98,-1.35,6.61,5,0,255.255.255.255,415,3,0,0.05,-0.07,0,2,0.49,0.39,0,0
generic_light,45,20.98,-1.35,7.38,5,0,255.255.255.255,436,3,-0.48,0.09,-0.42,0,0,0.51,0.32,0,0.325
generic_light,46,20.98,-1.35,8.15,5,0,255.255.255.255,457,3,-0.15,0.07,1,0,1,0.49,0.61,0,0.3
generic_light,47,20.98,-1.35,8.92,5,0,255.255.255.255,478,3,-0.82,0.07,0.75,0,0,0.49,0.19,0,0.65
generic_light,48,20.98,-1.35,9.69,5,0,255.255.255.255,499,3,-0.02,0.04,0.74,0,2,0.48,0.23,0,0.1
generic_light,49,20.98,-1.35,10.46,5,0,255.255.255.255,7,3,-0.5,0.06,0.86,0,0,0.51,0.31,0,0.675
generic_light,50,-6.7,-1.4,11.62,6,0,255.255.255.255,28,4,-0.01,3.12E-17,-1.1,250,0,0.76,0.22,0,0.7
generic_light,51,-8.07667,-1.4,11.62,6,0,255.255.255.255,49,4,0.57,-0.01,-1.23,0,1,0.83,0.19,0,0.87
generic_light,52,-9.45333,-1.4,11.62,6,0,255.255.255.255,70,4,-0.92,0,-0.75,350,2,0.71,0.34,0,0.91
generic_light,53,-10.83,-1.4,11.62,6,0,255.255.255.255,16,4,-0.67,0,-0.59,335,1,0.74,0.38,0,0.655
generic_light,54,-12.2067,-1.4,11.62,6,0,255.255.255.255,37,4,-0.75,3.47E-18,-1.04,310,0,0.74,0.28,0,0.725
generic_light,55,-13.5833,-1.4,11.62,6,0,255.255.255.255,59,4,-0.78,0.01,-1.02,315,0,0.76,0.44,0,0.735
generic_light,56,-14.96,-1.4,11.62,6,0,255.255.255.255,80,4,-0.52,0.23,-0.79,345,0,0.7,0.42,0,0.36
generic_light,57,-16.3367,-1.4,11.62,6,0,255.255.255.255,101,4,-0.14,0,-0.93,35,1,0.75,0.25,0,0.7
generic_light,58,-17.7133,-1.4,11.62,6,0,255.255.255.255,122,4,0.18,0.01,-0.98,315,3,0.71,0.25,0,1
generic_light,59,-19.09,-1.4,11.62,6,0,255.255.255.255,143,4,0.73,0,-0.78,25,0,0.82,0.44,0,0.6
generic_light,60,-20.325,-1.41,14.94,7,0,255.255.255.255,164,4,0.95,0,-4.25,155,0,0.84,0.43,0,0.475
generic_light,61,-20.4953,-1.41,15.408,7,0,255.255.255.255,185,4,0.79,0,-3.57,265,2,0.92,0.32,0,0.675
generic_light,62,-20.6657,-1.41,15.8759,7,0,255.255.255.255,206,4,0.84,-3.47E-18,-2.96,340,1,0.93,0.13,0,0.8
generic_light,63,-20.836,-1.41,16.3439,7,0,255.255.255.255,227,4,0.32,0,-2.58,0,2,0.97,0.41,0,0.325
generic_light,64,-21.0063,-1.41,16.8119,7,0,255.255.255.255,248,4,0.19,0,-2.12,0,0,0.96,0.34,0,0.475
generic_light,65,-21.1766,-1.41,17.2798,7,0,255.255.255.255,269,4,0.19,0,-1.6,0,1,0.99,0.4,0,0.5
generic_light,66,-21.2022,-1.416,22.4857,8,0,255.255.255.255,290,5,-1.3,0,-2.22,0,0,0.11,0.32,0,0.825
generic_light,67,-21.6746,-1.416,20.4395,8,0,255.255.255.255,311,5,-0.85,0,0.76,0,1,0.13,0.23,0,0.675
generic_light,68,-22.1766,-1.416,22.7106,8,0,255.255.255.255,333,5,0.29,0,-1.44,0,1,0.08,0.3,0,0.525
generic_light,69,-22.649,-1.416,20.6644,8,0,255.255.255.255,354,5,0.57,0,1.32,0,0,0.06,0.43,0,0.4
generic_light,70,-23.151,-1.416,22.9356,8,0,255.255.255.255,375,5,0.07,0,-0.2,0,0,0.05,0.61,0,0.325
generic_light,71,-23.6234,-1.416,20.8894,8,0,255.255.255.255,396,5,-0.19,0,1.9,0,1,0.9,0.41,0,0
generic_light,72,-24.1254,-1.416,23.1605,8,0,255.255.255.255,417,5,1.89,0,0.31,0,0,0.89,0.27,0,0
generic_light,73,-24.5978,-1.416,21.1143,8,0,255.255.255.255,438,5,3.04,0,1.34,0,1,0.09,0.49,0,0.525
generic_light,74,-18.4633,-1.5,30.3209,9,0,255.255.255.255,459,6,0.47,0.13,-4.52,0,0,0.13,0.96,0,0.55
generic_light,75,-18.2126,-1.5,30.7072,9,0,255.255.255.255,480,6,0.95,0.08,-4.76,0,1,0.15,0.34,0,0.4
generic_light,76,-17.7646,-1.5,31.24,9,0,255.255.255.255,501,6,-1.64,0.09,-4.35,0,3,0.1,0.82,0,-0.025
generic_light,77,-17.0513,-1.5,31.8257,9,0,255.255.255.255,9,6,-1.73,0.08,-5.59,0,2,0.2,0.8,0,-0.025
generic_light,78,-16.4665,-1.5,32.196,9,0,255.255.255.255,30,6,-2.45,0.09,-4.81,0,2,0.09,0.64,0,0
generic_light,79,-15.8408,-1.5,32.4919,9,0,255.255.255.255,51,6,-2.61,0.1,-4.51,0,2,0.05,0.56,0,-1.60E-16
generic_light,80,-15.1834,-1.5,32.7088,9,0,255.255.255.255,72,6,-3.4,0.05,-3.45,0,0,0.15,0.52,0,-0.025
generic_light,81,-14.5045,-1.5,32.8434,9,0,255.255.255.255,94,6,-3.17,0.07,-2.92,0,2,0.17,0.37,0,0
generic_light,82,-13.8141,-1.5,32.8938,9,0,255.255.255.255,115,6,-3.48,0.06,-2,0,0,0.24,0.4,0,-4.86E-17
generic_light,83,-13.1228,-1.5,32.8592,9,0,255.255.255.255,136,6,-3.47,0.1,-1.6,0,1,0.27,0.75,0,-4.86E-17
